domain,category
aunovis.de,Sonstige Softwareentwicklung
comdi.de,Buchführung (ohne Datenverarbeitungsdienste)
quantum-acompa.de,Sonstige Softwareentwicklung
bau-schwaiger.de,Bau von Gebäuden (ohne Fertigteilbau)
harzer-uhren.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
tower-electronic.de,Herstellung von sonstigen elektronischen Bauelementen
ws-equestrian.de,Haltung von Pferden und Eseln
argon-lighting.de,Herstellung von elektrischen Lampen und Leuchten
hochbau-service.de,Baugewerbe a. n. g.
pflegedienst-rotkaeppchen.de,Ambulante soziale Dienste
polley-transporte.de,Güterbeförderung im Straßenverkehr
dsg1.de,Werbeagenturen
thuem.de,Einzelhandel mit Uhren und Schmuck
autohaus-weeber.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
hofgut-hagenbach.de,Imbissstuben u.Ä.
holzbau-jens-nickel.de,Zimmerei und Ingenieurholzbau
ms-energie.de,Unternehmensberatung
bodensee.it,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
f-i-w.eu,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
fellow-consulting.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
euro-fashion-center.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
prophylaxe-zahnarzt-vellmar.de,Zahnarztpraxen
nexus-ca.de,Unternehmensberatung
baustoffe-puellen.de,Großhandel mit Baustoffen und Bauelementen aus mineralischen Stoffen
mpu-metall.de,Herstellung von sonstigen Werkzeugen
zickenheiner.de,Personenbeförderung im Landverkehr a. n. g.
baywa.de,Großhandel mit landwirtschaftlichen Maschinen und Geräten
popp-pelzveredelung.de,Herstellung von Pelzwaren
unid.de,Public-Relations-Beratung
bruehl-stiftung.de,Sonstiges Sozialwesen a. n. g.
netup.de,Werbeagenturen
petroservices.de,"Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
weber-greissinger.de,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g."
automatenkaffee.de,"Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz"
keppler-holz.de,Großhandel mit Roh- und Schnittholz
brauerei-haeffner.de,Herstellung von Bier
bestattungsfuhrwesen.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
grote-service.com,Einzelhandel mit Geräten der Unterhaltungselektronik
wohnbau-weinmann.de,Bauträger für Wohngebäude
pickitup-project.com,Fotografie
freibott-bausanierung.de,Baugewerbe a. n. g.
mg-transporte.com,Güterbeförderung im Straßenverkehr
dde.de,Zimmerei und Ingenieurholzbau
cux-gs-projekt.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
meese.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
geniesserhotel-altes-gymnasium.de,Hotels (ohne Hotels garnis)
lattermann-ek.de,Abbrucharbeiten
sw-medientechnik.de,Erbringung von Dienstleistungen für die darstellende Kunst
lebenshilfe-aalen.de,Altenheime Alten- und Behindertenwohnheime
teamkonfigurator.de,Sportvereine
krankenhaus-kiel.de,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
ba-ruhr.de,Berufsbildende weiterführende Schulen
motrixx.de,Erbringung von sonstigen Dienstleistungen des Sports
peikko.de,Herstellung von Schrauben und Nieten
bavarianstrongbikes.de,Großhandel mit Kraftwagenteilen und -zubehör
mezger.de,Einzelhandel mit Kraftwagenteilen und -zubehör
leitungsbau-nord.de,Elektroinstallation
eifeljournal.de,Drucken a. n. g.
der-lokalanzeiger.de,Verlegen von Zeitungen
la-coupe.de,Frisörsalons
egid-muench.com,Großhandel mit Werkzeugmaschinen
boerke-bau.de,Baugewerbe a. n. g.
is-rodersdorf.de,Installation von Maschinen und Ausrüstungen a. n. g.
meduba-websolutions.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
berger-bedachungen.de,Dachdeckerei und Bauspenglerei
helbig-lang.de,Oberflächenveredlung und Wärmebehandlung
prohomine.de,Herstellung von sonstigen Nahrungsmitteln a. n. g.
back-holzbau.de,Bau von Gebäuden (ohne Fertigteilbau)
primusline.com,Herstellung von Hebezeugen und Fördermitteln
ntcgmbh.com,Oberflächenveredlung und Wärmebehandlung
hoergeraete-kersten.de,Einzelhandel mit medizinischen und orthopädischen Artikeln
bh-recycling.de,Sammlung nicht gefährlicher Abfälle
andijamo-fashion.com,Großhandel mit Bekleidung
project-partners.de,Unternehmensberatung
cuba-broadcast.com,Sonstige Softwareentwicklung
blechbearbeitung-online.de,Installation von Maschinen und Ausrüstungen a. n. g.
lift-manager.de,Vermietung von Baumaschinen und -geräten
werkzeugbau-weihrauch.de,Mechanik a. n. g.
nivus.de,"Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
transporte-brinkmann-gmbh.de,Güterbeförderung im Straßenverkehr
mss-vip.de,Sonstige Softwareentwicklung
plaza-bielefeld.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
wohnbau-oberriexingen.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
bedachungen-possemeyer.de,Dachdeckerei und Bauspenglerei
energiepartner.de,Elektrizitätsverteilung
andrews-international.de,Vermittlung von Arbeitskräften
immobiliaris.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
dinotec.de,"Großhandel mit Installationsbedarf für Gas, Wasser und Heizung"
poly-licht.de,Herstellung von elektrischen Lampen und Leuchten
baustoffhandel-karsdorf.de,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik, ohne ausgeprägten Schwerpunkt"
enamel-dentallabor.de,Zahntechnische Laboratorien
confair.eu,Beteiligungsgesellschaften
neugebauerit.de,Reparatur von Datenverarbeitungsgeräten und peripheren Geräten
noor.eu,Abfüllen und Verpacken
radioerft.de,Hörfunkveranstalter
telle.de,Herstellung von sonstigen Gummiwaren
scriba-ag.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
stadtbau-dachau.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
trafo-schneider.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
sera-web.com,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
canyon-chorweiler.de,Betrieb von Sportanlagen
spiro.de,Unternehmensberatung
helmich.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
crowdcode.io,Managementtätigkeiten von Holdinggesellschaften
licht.de,"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten"
bgg-gotha.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
wernst-werte.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
fb-lifestyle-group.de,Frisörsalons
deuro-rolladenbau.de,Bautischlerei und -schlosserei
vib-makler.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
hydrauflex.de,"Großhandel mit Eisenerzen, Eisen, Stahl, Eisen- und Stahlhalbzeug"
ltp-oldenburg.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
domus-finanz-versicherungen.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
doric.com,Managementtätigkeiten von Holdinggesellschaften
silcos.com,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
bauhaus.info,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
h-ortmeier.de,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
weltachs.de,Großhandel mit Getränken
tpd.de,Werbeagenturen
hansabaustahl.de,Herstellung von Ausbauelementen aus Metall
pflegedienst-mertins.de,Ambulante soziale Dienste
stoeckigt-dachtechnik.de,Dachdeckerei und Bauspenglerei
griesotec.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
autohaus-koenig.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
geruest-weber.de,Gerüstbau
adestis.com,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
holzbau-flack.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
elise.de,Sonstige Softwareentwicklung
kotowski-gmbh.de,Einzelhandel in eigenem Namen mit Motorenkraftstoffen (Freie Tankstellen)
soliq.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
ontorix.de,Sonstige Softwareentwicklung
stroppel-reutlingen.de,Einzelhandel mit Kraftwagenteilen und -zubehör
moebel-banuat.de,Managementtätigkeiten von Holdinggesellschaften
buechter-schieferton.de,"Gewinnung von Kies, Sand, Ton und Kaolin"
silwa.de,Einzelhandel mit bespielten Ton- und Bildträgern
drescher-zelte.de,Vermietung von sonstigen Gebrauchsgütern
magenwirth.com,Managementtätigkeiten von Holdinggesellschaften
jovema.net,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
txtgroup.com,Herstellung von sonstigen elektronischen Bauelementen
bluemler-saw.de,Bau von Straßen
faun.com,Spedition
cineplex.de,Kinos
eckpfeiler.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
asimeto.de,"Herstellung von nicht elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
atarafilm.de,"Herstellung von Filmen, Videofilmen und Fernsehprogrammen"
trafo2.de,Sonstige Softwareentwicklung
zeimke-balingen.de,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
vigor-feingeraetebau.de,Mechanik a. n. g.
rosendahl-holz.de,Allgemeine öffentliche Verwaltung
modul-projekt.de,Architekturbüros für Hochbau
jakobsberg.de,Hotels (ohne Hotels garnis)
pro-medisoft.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
asphalt-ulm.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
willisautohof.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
sgkultur.de,Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g.
hegensdorf.de,Architekturbüros für Hochbau
greengas-rathenow.de,Allgemeine öffentliche Verwaltung
pgc-group.de,Unternehmensberatung
rostow-massivhaus.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
autofranke.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
voeltl-landtechnik.de,Großhandel mit landwirtschaftlichen Maschinen und Geräten
mewigmbh.de,Dachdeckerei und Bauspenglerei
igmitzenheim.de,Sonstige Ingenieurbüros
dachdecker-ehrenberg.de,Dachdeckerei und Bauspenglerei
triple-z.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
eder-bau.de,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g."
putzteufel.net,Spedition
project-green.com,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
exxbags.de,Sonstige Softwareentwicklung
artemed-akademie.de,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
robotron-online.de,Berufliche Erwachsenenbildung
sanitaetshaus-provital.de,Einzelhandel mit medizinischen und orthopädischen Artikeln
meesenburg.com,Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten
montes.de,"Technische, physikalische und chemische Untersuchung"
thomas-steinkuehler.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
orlen-deutschland.de,Einzelhandel in fremdem Namen mit Motorenkraftstoffen (Agenturtankstellen)
logos-ib.de,Ingenieurbüros für bautechnische Gesamtplanung
gartenbau-leufgen.com,Garten- und Landschaftsbau
carls-aue.de,Herstellung von Baubedarfsartikeln aus Kunststoffen
ibb-mattis.de,Sonstiges Sozialwesen a. n. g.
cib.de,Sonstige Softwareentwicklung
ruf-baustoffe.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
harri-huebner.de,"Einzelhandel mit Blumen, Pflanzen, Sämereien und Düngemitteln"
reulbach-metallbau.de,Bautischlerei und -schlosserei
sportprager.de,Einzelhandel mit Sport- und Campingartikeln (ohne Campingmöbel)
bshfilms.com,Tonstudios und Herstellung von Hörfunkbeiträgen
frauenrath.de,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
metzger-spedition.de,Spedition
plansysteme.com,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
kirsch-cosmetics.de,Kosmetiksalons
burg-services.de,"Großhandel mit Lederwaren, Reisegepäck, Geschenk- und Werbeartikeln"
schokinag.com,Herstellung von Süßwaren (ohne Dauerbackwaren)
dfs-online.de,Unternehmensberatung
rwt-gruppe.de,Rechtsberatung
dihse.de,Herstellung von sonstigen Kunststoffwaren
bau-flechsig.de,Bau von Gebäuden (ohne Fertigteilbau)
amazon.de,Großhandel mit Uhren und Schmuck
awo-bonn-rhein-sieg.de,Sonstiges Sozialwesen a. n. g.
metacarp.de,Sonstige Softwareentwicklung
krannich-solar.com,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
pollems-gmbh.eu,Sonstiger Tiefbau a. n. g.
knoll-mb.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
sanita.de,"Vermietung von sonstigen Maschinen, Geräten und beweglichen Sachen a. n. g."
airemotion.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
deutscherlebensring.de,Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)
techkon-metalltechnik.de,Herstellung von Metallwaren a. n. g.
ringtreuhand.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
atro-trost.de,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
11er-online.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
secondhand-courage.de,Einzelhandel mit Bekleidung
schalkbau.de,Bau von Gebäuden (ohne Fertigteilbau)
weinreich-heinrich.de,Werbeagenturen
compagon.com,Unternehmensberatung
klingenfuss-druck.de,Drucken a. n. g.
urologie-bamberg.de,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
sporleder-ship.de,Schiffsmaklerbüros und -agenturen
treff.de,Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g.
tintenfuzzy.de,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
rambazamba-mainz.de,Vergnügungs- und Themenparks
servicesevb.de,Allgemeine Gebäudereinigung
disch-bau.de,Baugewerbe a. n. g.
buergel-gmbh.de,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
lemmer-gmbh.de,Dachdeckerei und Bauspenglerei
styrocrete.de,Großhandel mit Baustoffen und Bauelementen aus mineralischen Stoffen
weitbrecht-rohrleitungsbau.de,"Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau"
jugz.eu,Sonstiges Sozialwesen a. n. g.
pro-wohngenossenschaft.de,Interessenvertretungen und Vereinigungen a. n. g.
tigerbytes.de,Entwicklung und Programmierung von Internetpräsentationen
broeggelhoff.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
nicelocal.com.de,Baugewerbe a. n. g.
premiumreisebuero.de,Reiseveranstalter
optikmarkt.de,Großhandel mit Foto- und optischen Erzeugnissen
kavungruppe.com,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
emr-automation.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
mevalon.de,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
jost-pilger.de,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
ep-partners.com,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
belijha.de,Sonstiges Sozialwesen a. n. g.
fritzostermann.de,"Großhandel mit Installationsbedarf für Gas, Wasser und Heizung"
offroad-seko.de,Einzelhandel mit Kraftwagenteilen und -zubehör
behrens-gruppe.de,"Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz"
mzs-24.de,Bautischlerei und -schlosserei
it-reisebuero-neuenburg.de,Reisebüros
solwo.de,"Kauf und Verkauf von eigenen Wohngrundstücken, Wohngebäuden und Wohnungen"
sonnenschutz-unger.de,Bautischlerei und -schlosserei
sachsen-incoming.com,Reiseveranstalter
meridian-energy.de,Elektroinstallation
taxifischer.de,Betrieb von Taxis
sempf-schlauchleitungen.de,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
ralfgohr.de,Einzelhandel mit Textilien
csu-fanshop.de,Spedition
volksbank-franken.de,Kreditinstitute des Genossenschaftssektors
schotmann-cnc.de,Mechanik a. n. g.
bb-baugmbh.de,"Großhandel mit Eisenerzen, Eisen, Stahl, Eisen- und Stahlhalbzeug"
galabau-uphaus.de,Garten- und Landschaftsbau
examcert.de,Unternehmensberatung
waescherei-textilpflege.de,Wäscherei und chemische Reinigung
hv-immobilien.de,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
ekm-energie.de,Elektrizitätshandel
raricon.org,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
cutting-crew-der-friseur.de,Frisörsalons
schliefke-dms.de,Spedition
werner-dosiertechnik.de,"Großhandel mit Installationsbedarf für Gas, Wasser und Heizung"
xn--gths-hochbau-4ib.de,Bau von Gebäuden (ohne Fertigteilbau)
ballan-brueschke.de,Mechanik a. n. g.
conatex.de,"Herstellung von elektrischen Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
peters-lange.de,Dachdeckerei und Bauspenglerei
tubal-touristik.de,Reisebüros
essert.com,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.
josef-knoeferl.de,"Fußboden-, Fliesen- und Plattenlegerei, Tapeziererei"
concordia.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
accenon.de,Sonstige Softwareentwicklung
kondorwessels.com,Bau von Gebäuden (ohne Fertigteilbau)
creditlife.net,Lebensversicherungen
sauerstoffwerk.de,Herstellung von Industriegasen
magtrol.de,Großhandel mit elektrischen Haushaltsgeräten
danpower.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
kuk-waermetechnik.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
consols.de,Unternehmensberatung
der-hollaender.de,"Einzelhandel mit Blumen, Pflanzen, Sämereien und Düngemitteln"
sriplex.com,Unternehmensberatung
pelteko.de,Mechanik a. n. g.
schuessler-transporte.de,Güterbeförderung im Straßenverkehr
philotech.net,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
wien-computer.de,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
autohaus-damato.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
noxygen.de,Forschung und Entwicklung im Bereich Biotechnologie
frankenheimpb.de,Unternehmensberatung
fwu-ib.de,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
monscheuer-nfz.de,"Instandhaltung und Reparatur von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger (ohne Lackierung und Autowäsche)"
hvt-potsdam.de,"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation"
hd-bau.de,Bauträger für Wohngebäude
habich-gmbh.de,Sonstiger Einzelhandel a. n. g. (in Verkaufsräumen)
tab-berse.de,Bautischlerei und -schlosserei
autohaus-pape.com,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
gartenplan.de,Garten- und Landschaftsbau
koch-lagertechnik.de,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
ifam.de,Werbeagenturen
hanosan.de,Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen
auto-reissland.de,"Handel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
lebensbaum-naumburg.de,Ambulante soziale Dienste
motorrad-kinberger.de,"Handel mit Krafträdern, Kraftradteilen und -zubehör Instandhaltung und Reparatur von Krafträdern"
pvp.de,Drucken a. n. g.
ellipsa.de,"Großhandel mit medizinischen und orthopädischen Artikeln, Dental- und Laborbedarf"
schuetzeichel.de,Mechanik a. n. g.
alschu-kunststoffe.de,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
notfallmedizin-sachsen.de,Sonstiges Sozialwesen a. n. g.
barmenia.de,Tätigkeit von Versicherungsmaklerinnen und -maklern
salaground.com,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
cncon.de,Reparatur von Maschinen
kampen-rentanevent.com,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
animus-intensivpflege.de,Ambulante soziale Dienste
medhoff.de,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
wedo.de,"Einzelhandel mit Schreib- und Papierwaren, Schul- und Büroartikeln"
kaufring-weil.de,Einzelhandel mit Waren verschiedener Art (ohne Nahrungsmittel)
tr-bau.de,Bau von Gebäuden (ohne Fertigteilbau)
om-online.de,Verlegen von Zeitschriften
bierschwale-dachdeckermeister.de,Dachdeckerei und Bauspenglerei
willm-service-emmendingen.de,Allgemeine Gebäudereinigung
ue-edv.de,Betrieb von Datenverarbeitungseinrichtungen für Dritte
rohrreinigung-murmann.de,Betrieb der Sammelkanalisation
msgtech.de,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
castrolracing.de,Erbringung von sonstigen Dienstleistungen des Sports
seniorenzentrum-frickingen.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
dynapac.com,Herstellung von Hebezeugen und Fördermitteln
rahlmeyer.de,Herstellung von Hebezeugen und Fördermitteln
golf-for-all.de,Einzelhandel mit Sport- und Campingartikeln (ohne Campingmöbel)
rudolf-kempe.de,"Gewinnung von Kies, Sand, Ton und Kaolin"
wg-saaletal-jena.de,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
oestliches-weserbergland.de,Erbringung sonstiger Reservierungsdienstleistungen
neo-solution.de,Sonstige Softwareentwicklung
breitband-mkk.de,Sonstige Telekommunikation a. n. g.
ibz-waren.de,Baugewerbe a. n. g.
gestuet-ammerland.de,Haltung von Pferden und Eseln
xanonex.de,"Einzelhandel mit Möbeln, Einrichtungsgegenständen und sonstigem Hausrat"
hubertundpit.de,Sonstiger Einzelhandel a. n. g. (in Verkaufsräumen)
elbe-holding.de,Managementtätigkeiten von Holdinggesellschaften
wevg.de,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
